lat,lon
42.041245,-79.21296
42.04139,-78.47439
42.04164,-78.00141
42.041668,-78.2379
42.042126,-80.54105
42.042194,-79.47858
42.04248,-78.97648
42.04272,-80.27544
42.042755,-79.744194
42.042934,-80.00981
42.04341,-78.73999
42.043415,-80.83584
42.043774,-79.242096
42.044033,-78.5035
42.04435,-78.26701
42.04436,-78.03052
42.04444,-80.57022
42.04468,-79.50771
42.045048,-79.00561
42.045082,-80.304596
42.0452,-79.77334
42.045334,-80.03896
42.045685,-80.86501
42.046017,-78.76911
42.0463,-79.27123
42.046677,-78.532616
42.046753,-80.59939
42.04703,-78.29612
42.047077,-78.05962
42.04716,-79.53686
42.047436,-80.333755
42.04761,-79.03474
42.047638,-79.80249
42.04773,-80.06812
42.04795,-80.89419
42.048615,-78.79824
42.048817,-79.30037
42.04906,-80.628555
42.049313,-78.56174
42.04964,-79.566
42.049706,-78.32523
42.049786,-80.362915
42.04979,-78.08873
42.050076,-79.83164
42.05012,-80.09728
42.050167,-79.063866
42.05021,-80.92336
42.05121,-78.82736
42.05133,-79.329506
42.05136,-80.65772
42.051945,-78.59086
42.052113,-79.595146
42.052128,-80.39208
42.052376,-78.35435
42.052464,-80.95254
42.052498,-78.117836
42.052505,-79.860794
42.05251,-80.12644
42.05272,-79.093
42.05366,-80.6869
42.0538,-78.85649
42.05384,-79.35864
42.05447,-80.42125
42.054573,-78.61998
42.054577,-79.6243
42.054714,-80.98172
42.054893,-80.1556
42.054928,-79.889946
42.055042,-78.38346
42.055202,-78.14694
42.055267,-79.12214
42.055954,-80.71607
42.056347,-79.38779
42.056385,-78.88562
42.056805,-80.45042
42.05704,-79.65344
42.057198,-78.6491
42.05727,-80.18476
42.05735,-79.9191
42.0577,-78.41258
42.057808,-79.151276
42.0579,-78.176056
42.058243,-80.74525
42.05885,-79.41693
42.058964,-78.91476
42.059135,-80.47958
42.059498,-79.682594
42.059643,-80.21392
42.059765,-79.94826
42.059814,-78.67823
42.06035,-79.18041
42.060356,-78.441696
42.060524,-80.77442
42.060593,-78.20517
42.061344,-79.446075
42.061462,-80.50876
42.061543,-78.943886
42.061954,-79.71175
42.06201,-80.24309
42.062176,-79.97742
42.062428,-78.70735
42.062805,-80.8036
42.06288,-79.20955
42.063007,-78.47082
42.063282,-78.23428
42.063786,-80.537926
